,snapshots,dMx,dMy,dMz,eps_from_dMx,eps_from_dMy,eps_from_dMz
114,114.0,7.956030536664645,-0.43324918764011944,1.2406681282422696,5.498415402778398,1.6969979449573043,2.421384234370163
115,115.0,7.956030536664645,-0.47263547742559586,0.4332491876401363,5.576437205131276,1.6928746282481615,2.4130188927804146
116,116.0,7.8969511019864385,-0.49232862231833385,-0.1378520142491766,5.649085922180658,1.6887032582438297,2.409258891521287
117,117.0,7.581860783702695,-0.8664983752802926,-0.9649640997440017,5.708139216153942,1.683349378353346,2.4149493327744063
118,118.0,7.168304740955275,-0.9255778099585008,-2.04808706884436,5.751822384597181,1.6779547611211028,2.4379783706055576
119,119.0,6.735055553315135,-1.063429824207628,-2.717653995197324,5.781239724139734,1.6724339650730906,2.4738913317883524
120,120.0,6.321499510567715,-1.181588693564053,-3.3084483419793713,5.7985302742417,1.6669034653877453,2.5223724668396574
121,121.0,6.065488626962168,-1.5360653016332617,-3.840163254083185,5.808655110562411,1.661603671606747,2.5829558891131867
122,122.0,6.0064091922839715,-1.673917315882404,-3.997708413225043,5.816512277363374,1.656614101539137,2.6456995170380706
123,123.0,5.8685571780348305,-1.9102350545952085,-4.135560427474189,5.820563420183682,1.652305457421603,2.710046957827327
124,124.0,5.789784598463864,-1.92992819948795,-4.194639862152421,5.8222652253673175,1.648112469725283,2.7737754492001185
125,125.0,5.553466859751065,-2.1662459382007473,-4.627889049792577,5.818756927634997,1.6448579568243984,2.8476620554108703
126,126.0,5.3565354108237315,-2.225325372878962,-4.883899933398093,5.811240359174879,1.6418867866893188,2.9266525869987436
127,127.0,4.805127353827178,-2.363177387128087,-4.942979368076307,5.794680826476253,1.6395970543981808,3.004740405809821
128,128.0,4.470343890650717,-2.5207225462699583,-4.982365657861786,5.773582789561523,1.638165571893057,3.0813635863387328
129,129.0,4.0174015581178235,-2.7964265747682373,-4.805127353827169,5.747469815781855,1.638481346507693,3.150236813733664
130,130.0,3.859856398975941,-2.9342785890173735,-4.568809615114356,5.720080208416513,1.6397257616852963,3.2102263276406084
131,131.0,3.859856398975948,-2.953971733910107,-4.31279873150881,5.692972510706967,1.64100916628968,3.2614736107701026
132,132.0,3.8795495438686824,-2.894892299231903,-4.037094703010522,5.666320687658733,1.6417445323517592,3.3041912949610643
133,133.0,3.8795495438686682,-3.072130603266516,-4.0174015581178,5.639938753699738,1.6437283971365173,3.344925729197134
134,134.0,3.761390674512267,-2.8751991543391933,-4.1158672825814495,5.6128180403960215,1.6441241032679499,3.3864937882086843
135,135.0,3.6235386602631188,-2.875199154339187,-4.352185021294249,5.584916075927666,1.6444386064626657,3.432186416378429
136,136.0,3.48568664601399,-2.9933580236955835,-4.549116470221589,5.556362863168262,1.6455047944147347,3.4810869937781748
137,137.0,3.387220921550334,-2.9539717339101195,-4.647582194685274,5.527521937778257,1.6461929947364564,3.5307472199754413
138,138.0,3.465993501121252,-2.993358023695592,-5.041445092539957,5.499530370730075,1.6470701778502268,3.5887366216533727
139,139.0,3.682618094941329,-3.111516893052004,-4.883899933398091,5.473356995880597,1.6487131889473283,3.6407869367788246
140,140.0,4.135560427474212,-3.150903182837472,-4.962672512969027,5.4512058988242,1.6505400231201597,3.693078247605394
141,141.0,4.39157131107976,-3.1902894726229363,-5.1792971067891145,5.431716084511116,1.6525493253994026,3.7491308495647213
